crash_dim_id,crash_id,crash_type
869,20245047,Single
870,20241206,Multiple
871,20243069,Multiple
872,20243188,Single
873,20241130,Multiple
874,20247012,Multiple
875,20241178,Single
876,20248011,Single
877,20245097,Single
878,20241043,Single
879,20244054,Multiple
880,20243032,Multiple
881,20243232,Multiple
882,20244015,Single
883,20243112,Multiple
884,20243253,Single
885,20246028,Single
886,20242244,Single
887,20244006,Single
888,20247016,Single
889,20241154,Single
890,20241146,Multiple
891,20242009,Single
892,20241217,Single
893,20242030,Single
894,20243025,Multiple
895,20245159,Single
896,20242168,Single
897,20246021,Single
898,20245167,Single
899,20241238,Single
900,20241158,Single
901,20243228,Single
902,20242210,Single
903,20242253,Single
904,20245048,Single
905,20245032,Single
906,20242256,Multiple
907,20241289,Single
908,20243045,Multiple
909,20242028,Single
910,20243054,Single
911,20241187,Multiple
912,20245035,Single
913,20245108,Single
914,20246007,Single
915,20241126,Multiple
916,20244049,Single
917,20242021,Single
918,20242045,Multiple
919,20243101,Single
920,20242206,Single
921,20242117,Single
922,20245072,Single
923,20241226,Multiple
924,20242079,Single
925,20245046,Single
926,20241156,Single
927,20243093,Multiple
928,20243125,Single
929,20243134,Single
930,20242239,Multiple
931,20241232,Single
932,20241061,Single
933,20245025,Single
934,20247021,Single
935,20244056,Single
936,20242039,Single
937,20241182,Multiple
938,20241044,Multiple
939,20245154,Single
940,20242131,Single
941,20244031,Multiple
942,20247044,Single
943,20242059,Multiple
944,20245118,Single
945,20245022,Single
946,20242033,Single
947,20241207,Single
948,20243033,Multiple
949,20242159,Multiple
950,20243177,Single
951,20243241,Single
952,20245128,Single
953,20243132,Single
954,20245003,Multiple
955,20245020,Single
956,20243159,Single
957,20242072,Single
958,20243028,Single
959,20243105,Multiple
960,20245168,Single
961,20242258,Multiple
962,20241007,Single
963,20245095,Multiple
964,20241227,Single
965,20243130,Single
966,20242185,Single
967,20242065,Multiple
968,20243259,Multiple
969,20244052,Single
970,20242247,Single
971,20241093,Single
972,20241276,Single
973,20247014,Single
974,20242208,Single
975,20241157,Multiple
976,20244065,Multiple
977,20242054,Multiple
978,20242221,Multiple
979,20242197,Single
980,20241075,Multiple
981,20241279,Single
982,20243095,Single
983,20243272,Single
984,20243027,Single
985,20248001,Multiple
986,20245089,Single
987,20242228,Multiple
988,20242105,Single
989,20241069,Single
990,20244074,Multiple
991,20244008,Multiple
992,20243100,Multiple
993,20241122,Multiple
994,20244064,Single
995,20243138,Multiple
996,20241141,Multiple
997,20241244,Multiple
998,20242236,Single
999,20242195,Single
1000,20245026,Single
1001,20245122,Single
1002,20242010,Single
1003,20242205,Single
1004,20244002,Single
1005,20242041,Multiple
1006,20242084,Single
1007,20243230,Single
1008,20241114,Multiple
1009,20243068,Multiple
1010,20243099,Single
1011,20242145,Multiple
1012,20243062,Multiple
1013,20244048,Multiple
1014,20241112,Multiple
1015,20243047,Multiple
1016,20245109,Single
1017,20242198,Multiple
1018,20243202,Single
1019,20244029,Single
1020,20241185,Single
1021,20242153,Single
1022,20243257,Single
1023,20243149,Multiple
1024,20242202,Single
1025,20243245,Single
1026,20244004,Multiple
1027,20241123,Single
1028,20242222,Single
1029,20242248,Multiple
1030,20245146,Single
1031,20245082,Single
1032,20242267,Single
1033,20241213,Multiple
1034,20242220,Multiple
1035,20242036,Multiple
1036,20242047,Single
1037,20243270,Single
1038,20241121,Single
1039,20243016,Multiple
1040,20241038,Single
1041,20243200,Multiple
1042,20243039,Single
1043,20245137,Single
1044,20242246,Single
1045,20242063,Single
1046,20243180,Single
1047,20241297,Single
1048,20243059,Multiple
1049,20247001,Single
1050,20242242,Single
1051,20245139,Single
1052,20242091,Multiple
1053,20243077,Single
1054,20244038,Single
1055,20243136,Multiple
1056,20243229,Multiple
1057,20243211,Single
1058,20245017,Single
1059,20241270,Single
1060,20241225,Multiple
1061,20241084,Multiple
1062,20247047,Single
1063,20243050,Multiple
1064,20243216,Multiple
1065,20245027,Single
1066,20242190,Multiple
1067,20243115,Single
1068,20245049,Single
1069,20242116,Multiple
1070,20241129,Multiple
1071,20244076,Single
1072,20243141,Multiple
1073,20241095,Single
1074,20247051,Single
1075,20242082,Multiple
1076,20241090,Multiple
1077,20241113,Single
1078,20243258,Single
1079,20244053,Multiple
1080,20241064,Multiple
1081,20243175,Multiple
1082,20243183,Multiple
1083,20247048,Single
1084,20241049,Single
1085,20245079,Single
1086,20245115,Single
1087,20241242,Multiple
1088,20241144,Single
1089,20243262,Multiple
1090,20241001,Multiple
1091,20242231,Multiple
1092,20241018,Multiple
1093,20241105,Single
1094,20241282,Single
1095,20243204,Multiple
1096,20243224,Single
1097,20247032,Single
1098,20243179,Single
1099,20241192,Single
1100,20241026,Single
1101,20241067,Multiple
1102,20242001,Single
1103,20245163,Single
1104,20243013,Single
1105,20241191,Multiple
1106,20242031,Multiple
1107,20241117,Multiple
1108,20246020,Single
1109,20241012,Single
1110,20245060,Single
1111,20242263,Single
1112,20242038,Multiple
1113,20246005,Single
1114,20247008,Single
1115,20243140,Single
1116,20244030,Single
1117,20242061,Single
1118,20244036,Single
1119,20242134,Single
1120,20245033,Single
1121,20243060,Single
1122,20242002,Single
1123,20243057,Single
1124,20243166,Single
1125,20242203,Single
1126,20243196,Single
1127,20241214,Multiple
1128,20242083,Single
1129,20241272,Multiple
1130,20243244,Single
1131,20241104,Multiple
1132,20243182,Multiple
1133,20242180,Multiple
1134,20242126,Single
1135,20245034,Single
1136,20241023,Multiple
1137,20243065,Single
1138,20243083,Single
1139,20245099,Single
